Ingles,Portugues
Premise,Premissa
Premium,Prêmio
Prescribe,Prescrever
Prescription,Prescrição
Presently,Atualmente
Preservation,Preservação
Preside,Presidir
Presidency,Presidência
Presidential,Presidencial
Prestigious,Prestigiado
Presumably,Presumivelmente
Presume,Presumir
Prevail,Prevalecer
Prevalence,Prevalência
Prevention,Prevenção
Prey,Presa
Pride,Orgulho
Primarily,Principalmente
Prior,Anterior
Privatization,Privatização
Privilege,Privilégio
Probability,Probabilidade
Probable,Provável
Probe,Sonda
Problematic,Problemático
Proceed,Prosseguir
Proceeding,Processo
Proceeds,Receitas
Processing,Processamento
Processor,Processador
Proclaim,Proclamar
Productive,Produtivo
Productivity,Produtividade
Profitable,Rentável
Profound,Profundo
Programming,Programação
Progressive,Progressivo
Prohibit,Proibir
Projection,Projeção
Prominent,Proeminente
Promising,Promissor
Promotion,Promoção
Prompt,Incitar
Pronounced,Pronunciado
Propaganda,Propaganda
Proportion,Proporção
Proposition,Proposição
Prosecute,Processar
Prosecution,Acusação
Prosecutor,Promotor
Prospective,Prospectivo
Prosperity,Prosperidade
Protective,Protetor
Protein,Proteína
Protester,Manifestante
Protocol,Protocolo
Province,Província
Provincial,Provincial
Provision,Provisão
Provoke,Provocar
Psychiatric,Psiquiátrico
Psychological,Psicológico
Publicity,Publicidade
Publishing,Publicação
Pulse,Pulso
Pump,Bombear
Punch,Soco
Punk,Punk
Purely,Puramente
Pursuit,Perseguir
Puzzle,Quebra-cabeça
Query,Consulta
Quest,Busca
Questionnaire,Questionário
Quota,Contingente
Racial,Racial
Racism,Racismo
Racist,Racista
Radar,Radar
Radiation,Radiação
Radical,Radical
Rage,Raiva
Raid,Ataque
Rail,Trilho
Rally,Corrida
Random,Aleatório
Ranking,Classificação
Rape,Estupro
Rat,Rato
Rating,Avaliação
Ratio,Razão
Rational,Racional
Ray,Raio
Readily,Facilmente
Realization,Realização
Realm,Reino
Rear,Traseira
Reasonably,Razoavelmente
Reasoning,Raciocínio
Reassure,Tranquilizar
Rebel,Rebelde
Rebellion,Rebelião
Rebuild,Reconstruir
Receiver,Receptor
Recession,Recessão
Recipient,Destinatário
Reckon,Considerar
Recognition,Reconhecimento
Reconstruction,Reconstrução
Recount,Recontagem
Recovery,Recuperação
Recruit,Recrutar
Recruitment,Recrutamento
Referee,Árbitro
Referendum,Referendo
Reflection,Reflexão
Reform,Reforma
Refuge,Refúgio
Refugee,Refugiado
Refusal,Recusa
Regain,Recuperar
Regardless,Sem considerar
Regime,Regime
Registration,Registro
Regulate,Regular
Regulator,Regulador
Regulatory,Regulatório
Rehabilitation,Reabilitação
Reign,Reinado
Reinforce,Reforçar
Rejection,Rejeição
Relevance,Relevância
Reliability,Confiabilidade
Relieve,Aliviar
Relieved,Aliviado
Reluctant,Relutante
Remainder,Restante
Remains,Restos
Remarkable,Notável
Remarkably,Notavelmente
Remedy,Remédio
Reminder,Lembrete
Removal,Remoção
Render,Renderizar
Renew,Renovar
Renowned,Renomado
Rental,Aluguel
Replacement,Substituição
Reportedly,Supostamente
Reporting,Relatórios
Representation,Representação
Reproduce,Reproduzir
Reproduction,Reprodução
Republic,República
Resemble,Assemelhar-se
Reside,Residir
Residence,Residência
Residential,Residencial
Residue,Resíduo
Resign,Renunciar
Resignation,Renúncia
Resistance,Resistência
Resolution,Resolução
Respective,Respectivo
Respectively,Respectivamente
Restoration,Restauração
Restore,Restaurar
Restraint,Restrição
Restrict,Restringir
Restriction,Restrição
Resume,Retomar
Retail,Varejo
Retirement,Aposentadoria
Retreat,Retiro
Retrieve,Recuperar
Revelation,Revelação
Revenge,Vingança
Revenue,Receita
Reverse,Reverter
Revision,Revisão
Revival,Reavivamento
Revive,Reviver
Revolutionary,Revolucionário
Rhetoric,Retórica
Ridiculous,Ridículo
Rifle,Rifle
Riot,Rebelião
Rip,Rasgar
Risky,Arriscado
Ritual,Ritual
Rival,Rival
Rob,Roubar
Robbery,Roubo
Robust,Robusto
Rock,Pedra
Rocket,Foguete
Rod,Haste
Romance,Romance
Rookie,Novato
Rose,Rosa
Roster,Lista
Rotate,Girar
Rotation,Rotação
Roughly,Aproximadamente
Ruin,Ruína
Ruling,Decisão
Rumor,Rumor
Résumé,Retomar
Sacred,Sagrado
Sacrifice,Sacrifício
Saint,Santo
Sake,Interesse
Sanction,Sanção
Satisfaction,Satisfação
Say,Dizer
Scandal,Escândalo
Scare,Susto
Scattered,Espalhado
Scenario,Cenário
Scholar,Estudioso
Scholarship,Bolsa de estudos
Scope,Escopo
Scratch,Arranhar
Screening,Triagem
Screw,Parafuso
Scrutiny,Escrutínio
Seal,Selo
Secondly,Em segundo lugar
Secular,Secular
Seeker,Buscador
Seemingly,Aparentemente
Segment,Segmento
Seize,Aproveitar
Seldom,Raramente
Selective,Seletivo
Seminar,Seminário
Sensation,Sensação
Sensitivity,Sensibilidade
Sentiment,Sentimento
Separation,Separação
Serial,Serial
Settlement,Povoado
Settler,Colono
Setup,Configurar
Severely,Severamente
Sexuality,Sexualidade
Sexy,Sexy
Shaped,Em forma
Shareholder,Acionista
Shatter,Quebrar
Shed,Cabana
Sheer,Puro
Shipping,Envio
Shocking,Chocante
Shoot,Atirar
Shore,Costa
Short-term,Curto prazo
Shortage,Falta
Shortly,Em breve
Shrink,Encolher
Shrug,Encolher os ombros
Sibling,Irmão
Sidewalk,Calçada
Sigh,Suspirar
Signature,Assinatura
Significance,Significado
Simulate,Simular
Simulation,Simulação
Simultaneously,Simultaneamente
Sin,Pecado
Situated,Situado
Skeptical,Cético
Sketch,Esboço
Skilled,Habilidoso
Skip,Pular
Skull,Crânio
Slam,Bater
Slap,Tapa
Slash,Barra
Slavery,Escravidão
Slogan,Slogan
Slot,Slot
Smash,Esmagar
Snap,Foto
So-called,Chamado
Soak,Mergulhar
Soar,Disparar
Socialist,Socialista
Sole,Único
Solely,Unicamente
Solidarity,Solidariedade
Solo,Solo
Somehow,De alguma forma
Sometime,Algum dia
Sophisticated,Sofisticado
Sophomore,Estudante do segundo ano
Sound,Som
Sovereignty,Soberania
Spam,Spam
Span,Período
Spare,Poupar
Spark,Fagulha
Specialize,Especializar-se
Specialized,Especializado
Specification,Especificação
Specify,Especificar
Specimen,Espécime
Spectacle,Espetáculo
Spectacular,Espetacular
Spectator,Espectador
Spectrum,Espectro
Speculate,Especular
Speculation,Especulação
Spell,Soletrar
Sphere,Esfera
Spice,Tempero
Spill,Derramar
Spin,Rodar
Spine,Coluna
Spite,Despeito
Spoil,Estragar
Spokesman,Porta-voz
Spokesperson,Porta-voz
Spokeswoman,Porta-voz
Sponsorship,Patrocínio
Spotlight,Destaque
Spouse,Cônjuge
Spy,Espião
Squad,Esquadrão
Squeeze,Espremer
Stab,Facada
Stability,Estabilidade
Stabilize,Estabilizar
Stake,Estaca
Stall,Parar
Stance,Posição
Standing,De pé
Stark,Austero
Starve,Morrer de fome
Statistical,Estatística
Steadily,Constantemente
Steam,Vapor
Steer,Dirigir
Stem,Tronco
Stereotype,Estereótipo
Stimulate,Estimular
Stimulus,Estímulo
Stir,Mexer
Storage,Armazenar
Straightforward,Direto
Strain,Variedade
Strand,Fio
Strategic,Estratégico
Strengthen,Fortalecer
Strictly,Estritamente
Striking,Impressionante
Strip,Tira
Strive,Esforço
Stroke,Avc
Structural,Estrutural
Stumble,Tropeçar
Stun,Atordoar
Stunning,Esplêndido
Submission,Submissão
Subscriber,Assinante
Subscription,Subscrição
Subsequent,Subsequente
Subsequently,Posteriormente
Subsidy,Subvenção
Substantial,Substancial
Substantially,Substancialmente
Substitute,Substituir
Substitution,Substituição
Subtle,Sutil
Suburb,Subúrbio
Suburban,Suburbano
Succession,Sucessão
Successive,Sucessivo
Successor,Sucessor
Suck,Chupar
Sue,Processar
Suffering,Sofrimento
Sufficient,Suficiente
Sufficiently,Suficientemente
Suicide,Suicídio
Suite,Suíte
Summit,Cume
Super,Super
Superb,Soberbo
Superintendent,Superintendente
Superior,Superior
Supervise,Supervisionar
Supervision,Supervisão
Supervisor,Supervisor
Supplement,Suplemento
Supportive,Solidário
Supposedly,Supostamente
Suppress,Suprimir
Supreme,Supremo
Surge,Surto
Surgeon,Cirurgião
Surgical,Cirúrgico
Surplus,Excedente
Surrender,Render
Surveillance,Vigilância
Survival,Sobrevivência
Survivor,Sobrevivente
Suspend,Suspender
Suspension,Suspensão
Suspicion,Suspeita
Suspicious,Suspeito
Sustain,Sustentar
Sustainable,Sustentável
Swallow,Engolir
Swing,Balanço
Sword,Espada
Symbolic,Simbólico
Sympathetic,Simpático
Syndrome,Síndrome
Synthesis,Síntese
Systematic,Sistemático
Tackle,Enfrentar
Tactic,Tática
Tactical,Tático
Tag,Marcação
Tap,Tocar
Taxpayer,Contribuinte
Technological,Tecnológica
Teen,Adolescente
Temple,Templo
Temporarily,Temporariamente
Tempt,Tentar
Tenant,Inquilino
Tendency,Tendência
Tender,Macio
Tension,Tensão
Tenure,Mandato
Terminal,Terminal
Terminate,Encerrar
Terms,Termos
Terrain,Terreno
Terribly,Terrivelmente
Terrific,Maravilhoso
Terrify,Aterrorizar
Territory,Território
Terror,Terror
Terrorism,Terrorismo
Terrorist,Terrorista
Testify,Testemunhar
Testimony,Testemunho
Testing,Testando
Textbook,Livro didático
Texture,Textura
Thankfully,Felizmente
Theatrical,Teatral
Theft,Roubo
Theology,Teologia
Theoretical,Teórico
Therapist,Terapeuta
Thereafter,Depois disso
Thereby,Deste modo
Thesis,Tese
Thorough,Minucioso
Thoroughly,Completamente
Thought-provoking,Instigante
Thoughtful,Considerado
Thread,Fio
Threshold,Limite
Thrilled,Entusiasmado
Thrive,Florescer
Thumb,Dedão
Tide,Maré
Tighten,Apertar
Timber,Madeira
Timely,Oportuno
Timing,Tempo
Tissue,Tecido
Tobacco,Tabaco
Tolerance,Tolerância
Tolerate,Tolerar
Toll,Pedágio
Top,Principal
Torture,Tortura
Toss,Jogar
Total,Total
Tournament,Torneio
Toxic,Tóxico
Trace,Rastrear
Trademark,Marca registrada
Trading,Negociação
Tragedy,Tragédia
Tragic,Trágico
Trail,Trilha
Trailer,Reboque
Trait,Característica
Transaction,Transação
Transcript,Transcrição
Transformation,Transformação
Transit,Trânsito
Transmission,Transmissão
Transmit,Transmitir
Transparency,Transparência
Transparent,Transparente
Trap,Armadilha
Trauma,Trauma
Treasure,Tesouro
Treaty,Tratado
Tremendous,Tremendo
Tribal,Tribal
Tribe,Tribo
Tribute,Tributo
Trigger,Acionar
Trillion,Trilhão
Trio,Trio
Triumph,Triunfo
Troop,Tropa
Trophy,Troféu
Troubled,Perturbado
Trustee,Administrador
Tsunami,Tsunami
Tuition,Mensalidade
Tumor,Tumor
Turnout,Vire para fora
Turnover,Volume de negócios
Twist,Torção
Ultimate,Final
Unacceptable,Inaceitável
Uncertainty,Incerteza
Unconstitutional,Inconstitucional
Undergo,Submeter-se a
Undergraduate,Graduação
Underlying,Subjacente
Undermine,Minar
Undertake,Empreender
Undoubtedly,Sem dúvida
Unfold,Desdobrar
Unfortunate,Infeliz
Unify,Unificar
Unite,Unir
Unity,Unidade
Universal,Universal
Unprecedented,Sem precedentes
Unveil,Revelar
Upcoming,Por vir
Upgrade,Atualizar
Uphold,Defender
Urgent,Urgente
Usage,Uso
Useless,Inútil
Utility,Utilidade
Utilize,Utilizar
Utterly,Totalmente
Vacuum,Vácuo
Vague,Vago
Valid,Válido
Validity,Validade
Vanish,Desaparecer
Variable,Variável
Variation,Variação
Varied,Variado
Vein,Veia
Venture,Risco
Verbal,Verbal
Verdict,Veredicto
Verify,Verificar
Verse,Verso
Versus,Contra
Vertical,Vertical
Vessel,Navio
Veteran,Veterano
Viable,Viável
Vibrant,Vibrante
Vice,Vício
Vicious,Vicioso
Viewpoint,Ponto de vista
Violate,Violar
Violation,Violação
Virtue,Virtude
Visa,Visa
Visible,Visível
Vocal,Vocal
Voluntary,Voluntário
Voting,Votação
Vow,Voto
Vulnerability,Vulnerabilidade
Vulnerable,Vulnerável
Wander,Vagar
Ward,Ala
Warehouse,Armazém
Warfare,Guerra
Warming,Aquecimento
Warrant,Mandado
Warrior,Guerreiro
Weaken,Enfraquecer
Weave,Tecer
Weed,Erva
Weekly,Semanalmente
Weird,Esquisito
Welfare,Bem-estar
Well,Bem
Well-being,Bem-estar
Whatsoever,De jeito nenhum
Wheat,Trigo
Whereby,Pelo qual
Whip,Chicote
Whoever,Quem quer que seja
Wholly,Totalmente
Widen,Ampliar
Widespread,Difundido
Widow,Viúva
Width,Largura
Willingness,Disposição
Wipe,Limpar
Wisdom,Sabedoria
Wit,Sagacidade
Withdraw,Retirar
Withdrawal,Cancelamento
Wolf,Lobo
Workforce,Força de trabalho
Workout,Dar certo
Workplace,Local de trabalho
Workshop,Oficina
Worm,Minhoca
Worship,Adorar
Worthwhile,Vale a pena
Worthy,Valioso
Wrist,Pulso
Yell,Gritar
Yield,Colheita
